namespace,table_name
avalanche_teleporter_avalanche_c,TeleporterMessenger_evt_BlockchainIDInitialized
avalanche_teleporter_avalanche_c,TeleporterMessenger_evt_ReceiveCrossChainMessage
avalanche_teleporter_avalanche_c,TeleporterMessenger_evt_SendCrossChainMessage
avt_optimism,PositionRouter_evt_ExecuteDecreasePosition
avt_optimism,PositionRouter_evt_ExecuteIncreasePosition
axelar_arbitrum,axelargateway_evt_tokensent
axelar_avalanche_c,axelargateway_evt_tokensent
axelar_base,axelargateway_evt_tokensent
axelar_bnb,axelargateway_evt_tokensent
axelar_celo,axelargateway_evt_tokensent
axelar_ethereum,axelargateway_evt_tokensent
axelar_fantom,axelargateway_evt_tokensent
axelar_linea,axelargateway_evt_tokensent
axelar_mantle,axelargateway_evt_tokensent
axelar_optimism,axelargateway_evt_tokensent
axelar_polygon,axelargateway_evt_tokensent
axelar_scroll,axelargateway_evt_tokensent
axieinfinity_ethereum,mainchaingatewaymanager_evt_tokendeposited
axieinfinity_ethereum,mainchaingatewaymanager_evt_tokenwithdrew
axieinfinity_ethereum,mainchaingatewayv2_evt_depositrequested
axieinfinity_ethereum,mainchaingatewayv2_evt_withdrew
aztec_ethereum,rollup_evt_l2blockproposed
aztec_v2_ethereum,RollupProcessor_evt_AssetAdded
aztec_v2_ethereum,RollupProcessor_evt_BridgeAdded
b3,blocks
b3,contracts
b3,creation_traces # Added from original file
b3,logs
b3,logs_decoded
b3,traces
b3,traces_decoded
b3,transactions
b_cow_amm_arbitrum,BCoWFactory_call_logBCoWPool
b_cow_amm_arbitrum,BCoWFactory_evt_COWAMMPoolCreated
b_cow_amm_arbitrum,BCoWFactory_evt_LOG_NEW_POOL
b_cow_amm_arbitrum,BCoWPool_call_bind
b_cow_amm_arbitrum,BCoWPool_call_unbind
b_cow_amm_base,BCoWFactory_call_logBCoWPool
b_cow_amm_base,BCoWFactory_evt_COWAMMPoolCreated
b_cow_amm_base,BCoWFactory_evt_LOG_NEW_POOL
b_cow_amm_base,BCoWPool_call_bind
b_cow_amm_base,BCoWPool_call_unbind
b_cow_amm_ethereum,BCoWFactory_call_logBCoWPool
b_cow_amm_ethereum,BCoWFactory_evt_COWAMMPoolCreated
b_cow_amm_ethereum,BCoWFactory_evt_LOG_NEW_POOL
b_cow_amm_ethereum,BCoWPool_call_bind
b_cow_amm_ethereum,BCoWPool_call_unbind
b_cow_amm_gnosis,BCoWFactory_call_logBCoWPool
b_cow_amm_gnosis,BCoWFactory_evt_COWAMMPoolCreated
b_cow_amm_gnosis,BCoWFactory_evt_LOG_NEW_POOL
b_cow_amm_gnosis,BCoWPool_call_bind
b_cow_amm_gnosis,BCoWPool_call_unbind
babyswap_bnb,BabyFactory_evt_PairCreated
babyswap_bnb,BabyPair_evt_Swap
balancer,bpt_prices
balancer,dataset_factory_pool_mapping
balancer,flashloans
balancer,gauge_mappings
balancer,pools_metrics_daily
balancer,single_recipient_gauges
